2020-12-01 17:56:43 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 17:56:43 | FUNC:Processor | UNIT: 6101 | TEXT: CheckMkdir:mkdir /home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6101: no such file or directory
2020-12-01 17:56:43 | FUNC:Processor | UNIT: 6099 | TEXT: CheckMkdir:mkdir /home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6099: no such file or directory
2020-12-01 17:56:43 | FUNC:Processor | UNIT: 6100 | TEXT: CheckMkdir:mkdir /home/droid/Projects/GitHub/Silika-FileManager/sifileback/bin/dockerFile/6100: no such file or directory
2020-12-01 17:58:33 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:05:17 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:05:37 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:08:08 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:08:48 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:09:03 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:12:20 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:18:19 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:31:26 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:34:03 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:34:03 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-01 18:34:03 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-01 18:34:03 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-01 18:37:29 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 18:37:29 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-01 18:37:29 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
